"collection_type","collection_year","cruise_number","date_collected","final_age","length","read_age","readability","region","sex","species_code","specimen","test_age","vessel_code","weight","description","common_name"
"survey",2018,201801,"2018-06-04 18:12:55",6,470,6,2,"Bering Sea",1,21740,29,NA,162,625,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 18:12:55",6,440,6,2,"Bering Sea",1,21740,30,6,162,495,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-04 18:12:55",6,510,6,2,"Bering Sea",2,21740,31,NA,162,835,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 06:37:56",5,410,5,2,"Bering Sea",1,21740,32,NA,162,430,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 06:37:56",6,460,6,2,"Bering Sea",1,21740,33,NA,162,600,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 06:37:56",6,470,6,2,"Bering Sea",1,21740,34,NA,162,580,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 06:37:56",6,470,6,2,"Bering Sea",2,21740,35,6,162,610,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 06:37:56",6,500,6,2,"Bering Sea",2,21740,36,NA,162,730,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 10:17:49",10,540,10,2,"Bering Sea",1,21740,37,NA,162,765,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 10:17:49",6,480,6,2,"Bering Sea",1,21740,38,NA,162,665,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 10:17:49",6,480,6,1,"Bering Sea",1,21740,39,NA,162,520,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 10:17:49",3,410,3,2,"Bering Sea",1,21740,40,3,162,485,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 10:17:49",1,170,1,2,"Bering Sea",2,21740,41,NA,162,30,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 12:53:38",6,470,6,2,"Bering Sea",1,21740,42,NA,162,665,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 12:53:38",5,510,5,2,"Bering Sea",1,21740,43,NA,162,810,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 12:53:38",5,500,5,2,"Bering Sea",1,21740,44,NA,162,900,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 12:53:38",6,450,6,2,"Bering Sea",2,21740,45,6,162,590,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 12:53:38",8,480,8,2,"Bering Sea",1,21740,46,NA,162,655,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 15:29:25",6,500,6,2,"Bering Sea",2,21740,47,NA,162,720,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 15:29:25",6,460,6,2,"Bering Sea",2,21740,48,NA,162,575,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-05 15:29:25",5,410,5,1,"Bering Sea",1,21740,49,NA,162,445,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 06:33:46",1,130,1,1,"Bering Sea",3,21740,50,1,162,15,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 06:33:46",4,440,4,2,"Bering Sea",1,21740,51,NA,162,585,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 06:33:46",4,410,4,2,"Bering Sea",1,21740,52,NA,162,485,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 09:20:10",7,530,7,2,"Bering Sea",1,21740,53,NA,162,955,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 09:20:10",6,500,6,2,"Bering Sea",2,21740,54,NA,162,705,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 09:20:10",6,510,7,2,"Bering Sea",2,21740,55,6,162,855,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 11:59:05",7,510,7,2,"Bering Sea",1,21740,56,NA,162,805,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 11:59:05",9,470,9,2,"Bering Sea",1,21740,57,NA,162,675,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 11:59:05",9,470,9,2,"Bering Sea",1,21740,58,NA,162,685,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 14:36:08",10,540,10,2,"Bering Sea",2,21740,59,NA,162,1045,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 14:36:08",11,640,11,2,"Bering Sea",2,21740,60,11,162,1400,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-06 14:36:08",7,510,7,2,"Bering Sea",2,21740,61,NA,162,760,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 06:32:23",5,480,5,2,"Bering Sea",1,21740,62,NA,162,770,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 06:32:23",10,550,10,2,"Bering Sea",1,21740,63,NA,162,1050,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 06:32:23",9,540,9,2,"Bering Sea",2,21740,64,NA,162,980,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 08:58:59",10,550,10,2,"Bering Sea",2,21740,65,12,162,960,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 08:58:59",10,490,10,2,"Bering Sea",2,21740,66,NA,162,785,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 08:58:59",9,610,9,2,"Bering Sea",1,21740,67,NA,162,1240,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 11:33:57",12,530,12,2,"Bering Sea",1,21740,68,NA,162,715,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 11:33:57",9,500,9,2,"Bering Sea",1,21740,69,NA,162,725,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 11:33:57",5,510,6,2,"Bering Sea",1,21740,70,NA,162,925,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 14:11:35",5,460,5,2,"Bering Sea",1,21740,71,NA,162,630,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 14:11:35",5,430,5,2,"Bering Sea",2,21740,72,5,162,465,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 14:11:35",1,130,1,1,"Bering Sea",2,21740,73,NA,162,20,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 16:46:08",6,470,6,1,"Bering Sea",1,21740,74,NA,162,655,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 16:46:08",4,400,4,1,"Bering Sea",1,21740,75,NA,162,425,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-07 16:46:08",1,150,1,1,"Bering Sea",3,21740,76,NA,162,20,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",6,490,NA,3,"Bering Sea",1,21740,77,6,162,855,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",7,510,7,2,"Bering Sea",1,21740,78,NA,162,835,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",6,500,6,2,"Bering Sea",1,21740,79,NA,162,810,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",5,480,5,2,"Bering Sea",1,21740,80,NA,162,695,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",6,490,6,2,"Bering Sea",2,21740,81,NA,162,770,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 06:37:20",1,140,1,1,"Bering Sea",2,21740,82,1,162,15,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 09:23:58",6,470,6,2,"Bering Sea",1,21740,83,NA,162,620,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 09:23:58",6,480,6,1,"Bering Sea",1,21740,84,NA,162,650,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 09:23:58",5,470,5,1,"Bering Sea",2,21740,85,NA,162,580,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 09:23:58",5,490,5,1,"Bering Sea",2,21740,86,NA,162,830,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 09:23:58",7,550,7,2,"Bering Sea",2,21740,87,7,162,920,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 12:05:44",6,500,6,1,"Bering Sea",1,21740,88,NA,162,785,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 12:05:44",9,560,9,2,"Bering Sea",1,21740,89,NA,162,940,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 12:05:44",6,500,6,2,"Bering Sea",1,21740,90,NA,162,740,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 12:05:44",6,520,6,2,"Bering Sea",2,21740,91,NA,162,840,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 12:05:44",7,490,7,2,"Bering Sea",2,21740,92,7,162,880,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",6,480,6,1,"Bering Sea",1,21740,93,NA,162,715,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",7,520,7,2,"Bering Sea",1,21740,94,NA,162,755,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",8,470,8,2,"Bering Sea",1,21740,95,NA,162,610,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",1,170,1,1,"Bering Sea",1,21740,96,NA,162,20,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",6,450,7,2,"Bering Sea",2,21740,97,6,162,600,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-08 14:50:33",9,580,9,2,"Bering Sea",2,21740,98,NA,162,1230,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 06:32:05",6,470,6,2,"Bering Sea",1,21740,99,NA,162,760,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 06:32:05",6,470,6,2,"Bering Sea",1,21740,100,NA,162,650,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 06:32:05",7,480,7,2,"Bering Sea",2,21740,101,NA,162,645,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 06:32:05",5,440,6,2,"Bering Sea",2,21740,102,5,162,595,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 06:32:05",6,520,6,1,"Bering Sea",2,21740,103,NA,162,900,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 09:21:28",5,440,5,1,"Bering Sea",1,21740,104,NA,162,570,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 09:21:28",5,480,5,1,"Bering Sea",2,21740,105,NA,162,765,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 09:21:28",5,470,5,1,"Bering Sea",2,21740,106,NA,162,640,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 09:21:28",5,440,5,2,"Bering Sea",2,21740,107,5,162,565,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 09:21:28",5,470,5,2,"Bering Sea",2,21740,108,NA,162,630,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 11:55:46",5,460,5,1,"Bering Sea",1,21740,109,NA,162,665,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 11:55:46",6,480,6,1,"Bering Sea",1,21740,110,NA,162,785,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 11:55:46",7,490,7,2,"Bering Sea",1,21740,111,NA,162,695,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 11:55:46",5,440,5,1,"Bering Sea",1,21740,112,5,162,575,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 11:55:46",5,460,5,1,"Bering Sea",2,21740,113,NA,162,685,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 14:33:03",5,450,5,1,"Bering Sea",1,21740,114,NA,162,580,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 14:33:03",9,490,9,2,"Bering Sea",1,21740,115,NA,162,740,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 14:33:03",6,470,6,1,"Bering Sea",1,21740,116,NA,162,670,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 14:33:03",5,500,5,1,"Bering Sea",2,21740,117,5,162,660,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 14:33:03",5,500,5,1,"Bering Sea",2,21740,118,NA,162,700,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 17:05:31",5,460,5,2,"Bering Sea",1,21740,119,NA,162,730,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 17:05:31",10,460,10,2,"Bering Sea",1,21740,120,NA,162,630,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 17:05:31",4,380,4,1,"Bering Sea",1,21740,121,NA,162,380,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 17:05:31",5,420,5,1,"Bering Sea",1,21740,122,5,162,450,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-09 17:05:31",6,460,6,1,"Bering Sea",1,21740,123,NA,162,660,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 06:32:46",4,320,4,1,"Bering Sea",1,21740,124,NA,162,230,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 06:32:46",5,460,5,1,"Bering Sea",2,21740,125,NA,162,535,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 06:32:46",3,380,3,1,"Bering Sea",2,21740,126,NA,162,365,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 09:07:55",8,470,8,2,"Bering Sea",1,21740,127,8,162,725,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 09:07:55",4,430,4,2,"Bering Sea",1,21740,128,NA,162,535,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 09:07:55",1,150,1,1,"Bering Sea",2,21740,129,NA,162,20,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 11:54:47",5,410,5,2,"Bering Sea",1,21740,130,NA,162,500,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 11:54:47",4,460,4,1,"Bering Sea",1,21740,131,NA,162,640,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 11:54:47",6,530,6,2,"Bering Sea",1,21740,132,6,162,870,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 14:39:39",9,550,9,2,"Bering Sea",2,21740,133,NA,162,1020,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 14:39:39",9,620,9,2,"Bering Sea",2,21740,134,NA,162,1255,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-10 14:39:39",7,540,7,2,"Bering Sea",2,21740,135,NA,162,915,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 06:28:27",8,550,8,2,"Bering Sea",1,21740,136,NA,162,970,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 06:28:27",8,470,8,2,"Bering Sea",1,21740,137,8,162,685,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 06:28:27",6,490,6,1,"Bering Sea",2,21740,138,NA,162,655,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 09:03:52",9,490,9,2,"Bering Sea",2,21740,139,NA,162,595,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 09:03:52",9,610,9,2,"Bering Sea",2,21740,140,NA,162,1270,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 09:03:52",1,120,1,1,"Bering Sea",2,21740,141,NA,162,15,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 11:42:58",9,520,9,2,"Bering Sea",1,21740,142,NA,162,855,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 11:42:58",9,650,9,2,"Bering Sea",2,21740,143,11,162,1785,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 11:42:58",9,550,9,2,"Bering Sea",2,21740,144,NA,162,835,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 14:08:19",6,520,6,1,"Bering Sea",1,21740,145,NA,162,820,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 14:08:19",1,140,1,1,"Bering Sea",1,21740,146,NA,162,5,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
"survey",2018,201801,"2018-06-11 14:08:19",8,490,8,1,"Bering Sea",2,21740,147,NA,162,585,"2018 Eastern Bering Sea Bottom Trawl Survey","WALLEYE POLLOCK"
